,train_id,depart_station,arrive_station,time_depart,time_arrive,depart_lon,depart_lat,arrive_lon,arrive_lat,delay
6101,IC1909,Silly,Edingen / Enghien,2019-03-15 10:17:00,2019-03-15 10:24:00,3.935863,50.662386,4.047357,50.697272999999996,60
6102,IC1909,Edingen / Enghien,Halle,2019-03-15 10:26:00,2019-03-15 10:36:00,4.047357,50.697272999999996,4.240634,50.733931,120
6103,IC1909,Halle,Brussels-South/Brussels-Midi,2019-03-15 10:37:00,2019-03-15 10:48:00,4.240634,50.733931,4.336531,50.835707,120
6104,IC1909,Brussels-South/Brussels-Midi,Brussels-Central,2019-03-15 10:51:00,2019-03-15 10:55:00,4.336531,50.835707,4.356801,50.845658,120
6105,IC1909,Brussels-Central,Brussels-North,2019-03-15 10:56:00,2019-03-15 11:00:00,4.356801,50.845658,4.360846,50.859663,180
6106,IC1909,Diegem,Zaventem,2019-03-15 11:14:00,2019-03-15 11:17:00,4.442774,50.890478,4.469886,50.885723,60
6107,IC2231,Tongeren,Bilzen,2019-03-15 08:39:00,2019-03-15 08:49:00,5.47328,50.784405,5.50938,50.868643,60
6108,IC2231,Diepenbeek,Hasselt,2019-03-15 08:56:00,2019-03-15 09:03:00,5.4199470000000005,50.910452,5.327627,50.930822,60
6109,IC2231,Brussels-North,Brussels-Central,2019-03-15 10:07:00,2019-03-15 10:11:00,4.360846,50.859663,4.356801,50.845658,60
6110,IC2231,Brussels-Central,Brussels-South/Brussels-Midi,2019-03-15 10:12:00,2019-03-15 10:16:00,4.356801,50.845658,4.336531,50.835707,60
6111,IC2231,Denderleeuw,Aalst,2019-03-15 10:39:00,2019-03-15 10:46:00,4.071825,50.891925,4.0396529999999995,50.942813,60
6112,IC3231,Zele,Dendermonde,2019-03-15 08:46:00,2019-03-15 08:53:00,4.041999,51.073256,4.101426999999999,51.022781,60
6113,IC3231,Dendermonde,Jette,2019-03-15 09:03:00,2019-03-15 09:23:00,4.101426999999999,51.022781,4.326219999999999,50.880833,60
6114,IC3231,Jette,Brussels-North,2019-03-15 09:24:00,2019-03-15 09:30:00,4.326219999999999,50.880833,4.360846,50.859663,300
6115,IC3231,Brussels-North,Brussels-Central,2019-03-15 09:34:00,2019-03-15 09:38:00,4.360846,50.859663,4.356801,50.845658,120
6116,IC3231,Brussels-Central,Brussels-South/Brussels-Midi,2019-03-15 09:39:00,2019-03-15 09:43:00,4.356801,50.845658,4.336531,50.835707,120
6117,IC3231,Brussels-South/Brussels-Midi,Halle,2019-03-15 09:47:00,2019-03-15 09:57:00,4.336531,50.835707,4.240634,50.733931,120
6118,IC3231,Halle,Edingen / Enghien,2019-03-15 09:58:00,2019-03-15 10:08:00,4.240634,50.733931,4.047357,50.697272999999996,240
6119,IC3231,Edingen / Enghien,Silly,2019-03-15 10:10:00,2019-03-15 10:16:00,4.047357,50.697272999999996,3.935863,50.662386,180
6120,IC3231,Silly,Ath,2019-03-15 10:17:00,2019-03-15 10:26:00,3.935863,50.662386,3.777429,50.626932000000004,180
6121,IC3607,Denderleeuw,Liedekerke,2019-03-15 09:53:00,2019-03-15 09:56:00,4.071825,50.891925,4.095287,50.882531,60
6122,IC3607,Brussels-Central,Brussels-North,2019-03-15 10:18:00,2019-03-15 10:22:00,4.356801,50.845658,4.360846,50.859663,60
6123,IC831,Zottegem,Munkzwalm,2019-03-15 09:26:00,2019-03-15 09:32:00,3.8144099999999996,50.869102000000005,3.7332379999999996,50.875673,480
6124,IC831,Munkzwalm,Sint-Denijs-Boekel,2019-03-15 09:32:00,2019-03-15 09:36:00,3.7332379999999996,50.875673,3.6983949999999997,50.874297,480
6125,IC831,Sint-Denijs-Boekel,Oudenaarde,2019-03-15 09:36:00,2019-03-15 09:42:00,3.6983949999999997,50.874297,3.600386,50.850116,540
6126,IC831,Oudenaarde,Anzegem,2019-03-15 09:47:00,2019-03-15 09:54:00,3.600386,50.850116,3.495014,50.826384999999995,360
6127,IC831,Anzegem,Vichte,2019-03-15 09:54:00,2019-03-15 10:00:00,3.495014,50.826384999999995,3.39163,50.833657,360
6128,IC831,Vichte,Kortrijk,2019-03-15 10:00:00,2019-03-15 10:07:00,3.39163,50.833657,3.264549,50.824506,360
6129,IC831,Kortrijk,Ingelmunster,2019-03-15 10:16:00,2019-03-15 10:25:00,3.264549,50.824506,3.255416,50.914326,300
6130,IC831,Ingelmunster,Izegem,2019-03-15 10:25:00,2019-03-15 10:28:00,3.255416,50.914326,3.212088,50.921149,300
6131,IC831,Izegem,Roeselare,2019-03-15 10:29:00,2019-03-15 10:35:00,3.212088,50.921149,3.1304119999999998,50.949025,240
6132,IC831,Roeselare,Lichtervelde,2019-03-15 10:36:00,2019-03-15 10:42:00,3.1304119999999998,50.949025,3.127212,51.025163,120
6133,IC831,Lichtervelde,Torhout,2019-03-15 10:43:00,2019-03-15 10:47:00,3.127212,51.025163,3.105871,51.064707,60
6134,IC831,Torhout,Zedelgem,2019-03-15 10:48:00,2019-03-15 10:54:00,3.105871,51.064707,3.16414,51.127047,60
6135,IC2208,Ghent-Sint-Pieters,Merelbeke,2019-03-15 08:38:00,2019-03-15 08:43:00,3.710675,51.035896,3.768889,51.017531,60
6136,IC2208,Merelbeke,Melle,2019-03-15 08:44:00,2019-03-15 08:48:00,3.768889,51.017531,3.7970879999999996,51.002807000000004,60
6137,IC2208,Melle,Wetteren,2019-03-15 08:49:00,2019-03-15 08:54:00,3.7970879999999996,51.002807000000004,3.881883,51.001603,60
6138,IC2208,Lede,Aalst,2019-03-15 09:05:00,2019-03-15 09:11:00,3.984981,50.970895,4.0396529999999995,50.942813,120
6139,IC2208,Denderleeuw,Liedekerke,2019-03-15 09:23:00,2019-03-15 09:26:00,4.071825,50.891925,4.095287,50.882531,420
6140,IC2208,Liedekerke,Brussels-South/Brussels-Midi,2019-03-15 09:27:00,2019-03-15 09:41:00,4.095287,50.882531,4.336531,50.835707,420
6141,IC2208,Brussels-South/Brussels-Midi,Brussels-Central,2019-03-15 09:44:00,2019-03-15 09:48:00,4.336531,50.835707,4.356801,50.845658,360
6142,IC2208,Brussels-Central,Brussels-North,2019-03-15 09:49:00,2019-03-15 09:53:00,4.356801,50.845658,4.360846,50.859663,360
6143,IC2208,Brussels-North,Aarschot,2019-03-15 09:55:00,2019-03-15 10:19:00,4.360846,50.859663,4.824043,50.984406,300
6144,IC2208,Bilzen,Tongeren,2019-03-15 11:11:00,2019-03-15 11:20:00,5.50938,50.868643,5.47328,50.784405,60
6145,IC2609,Antwerp-Central,Antwerp-Berchem,2019-03-15 09:48:00,2019-03-15 09:52:00,4.421101,51.2172,4.432221,51.19923,60
6146,IC2609,Brussels Airport - Zaventem,Leuven,2019-03-15 10:21:00,2019-03-15 10:34:00,4.482075,50.896456,4.715866,50.88228,60
6147,IC2609,Aarschot,Diest,2019-03-15 10:55:00,2019-03-15 11:07:00,4.824043,50.984406,5.050031,50.993341,60
6148,IC3831,Liège-Saint-Lambert,Liège-Carré,2019-03-15 09:13:00,2019-03-15 09:16:00,5.570453,50.646349,5.561131,50.640299,60
6149,IC3831,Liège-Guillemins,Flemalle-Haute,2019-03-15 09:23:00,2019-03-15 09:31:00,5.566694999999999,50.62455,5.457656,50.595308,60
6150,IC3831,Flemalle-Haute,Huy,2019-03-15 09:32:00,2019-03-15 09:44:00,5.457656,50.595308,5.234211,50.527242,120
6151,IC3831,Huy,Andenne,2019-03-15 09:45:00,2019-03-15 09:53:00,5.234211,50.527242,5.094698999999999,50.496759000000004,60
6152,IC3831,Namur,Tamines,2019-03-15 10:12:00,2019-03-15 10:29:00,4.86222,50.468794,4.608823,50.432235,60
6153,IC3831,Tamines,Charleroi-Sud,2019-03-15 10:30:00,2019-03-15 10:42:00,4.608823,50.432235,4.438567,50.404709999999994,120
6154,IC3831,Charleroi-Sud,Marchienne-au-Pont,2019-03-15 10:44:00,2019-03-15 10:48:00,4.438567,50.404709999999994,4.394223,50.412171,420
6155,IC3831,Marchienne-au-Pont,La Louvière-Sud,2019-03-15 10:49:00,2019-03-15 11:02:00,4.394223,50.412171,4.190608999999999,50.464974,420
